priority_rank,name,state,city,tier,assets_musd,offices,est_net_benefit,net_low,net_high,roi_pct,log_assets,log_offices,cluster,segment,segment_rank
136,First Bank & Trust,SD,Brookings,Large / regional,4868.7,22.0,1628941.5955932983,736923.0915232981,2520960.0996632976,420.11341763001377,6.687413014973385,3.1354942159291497,1,A — Target first,1
137,Dacotah Bank,SD,Aberdeen,Large / regional,4867.7,32.0,1628582.4710419227,736753.4112819227,2520411.530801923,420.0743281166161,6.6873238044883125,3.4965075614664802,1,A — Target first,1
138,Bank of Stockton,CA,Stockton,Large / regional,4834.8,21.0,1617185.1358666443,731368.8259766443,2503001.445756644,418.8310731624164,6.684378513436003,3.091042453358316,1,A — Target first,1
139,Carter Bank & Trust,VA,Martinsville,Large / regional,4778.5,66.0,1597615.219427695,722125.273367695,2473105.1654876946,416.6840228278611,6.679291590344775,4.204692619390966,1,A — Target first,1
140,First National Bank Texas,TX,Killeen,Large / regional,4679.6,356.0,1563282.2085678107,705915.1574478108,2420649.2596878107,412.8788807227369,6.670208732301256,5.877735781779639,1,A — Target first,1
141,Bar Harbor Bank & Trust,ME,Bar Harbor,Large / regional,4672.5,62.0,1560827.145206327,704756.3402113272,2416897.9502013274,412.6048748710885,6.669549310050869,4.143134726391533,1,A — Target first,1
142,Hills Bank and Trust Company,IA,Hills,Large / regional,4671.5,21.0,1560473.900534538,704589.6084095383,2416358.1926595387,412.5654285300084,6.669456353183669,3.091042453358316,1,A — Target first,1
143,City Bank,TX,Lubbock,Large / regional,4643.9,36.0,1550922.028994307,700081.4626043071,2401762.5953843067,411.4967494630309,6.666882859232818,3.6109179126442243,1,A — Target first,1
144,Metro City Bank,GA,Doraville,Large / regional,4633.6,31.0,1547316.249088752,698379.8361937521,2396252.661983752,411.0923037680696,6.665918540181034,3.4657359027997265,1,A — Target first,1
145,PeoplesBank,MA,Holyoke,Large / regional,4625.7,21.0,1544575.866895013,697086.6692850132,2392065.0645050136,410.78454839735815,6.665177463158032,3.091042453358316,1,A — Target first,1
146,Southern First Bank,SC,Greenville,Large / regional,4581.5,12.0,1529261.2996430858,689860.8610680858,2368661.7382180863,409.0586118106101,6.661007690901031,2.5649493574615367,1,A — Target first,1
147,Hingham Institution for Savings,MA,Hingham,Large / regional,4547.9,9.0,1517589.512671887,684354.991706887,2350824.033636887,407.7362469465732,6.657810906779625,2.302585092994046,1,A — Target first,1
148,"VeraBank, National Association",TX,Henderson,Large / regional,4530.9,43.0,1511711.0067859162,681582.3465009163,2341839.6670709164,407.0679287224133,6.656184477114643,3.784189633918261,1,A — Target first,1
149,International Bank of Commerce,TX,Brownsville,Large / regional,4520.2,41.0,1507985.1828168589,679825.1677068591,2336145.1979268594,406.6435390514795,6.655157650956245,3.7376696182833684,1,A — Target first,1
150,"Town Bank, National Association",WI,Hartland,Large / regional,4515.4,26.0,1506330.905142191,679045.0087971912,2333616.801487191,406.45490729577256,6.654696228646883,3.295836866004329,1,A — Target first,1
151,First State Community Bank,MO,Farmington,Large / regional,4512.3,53.0,1505272.3408314327,678545.7998814324,2331998.881781432,406.3341376150619,6.654397965978249,3.9889840465642745,1,A — Target first,1
152,Arrow Bank National Association,NY,Glens Falls,Large / regional,4500.8,38.0,1501272.9663550262,676659.8104300263,2325886.122280026,405.877396373177,6.653289714821126,3.6635616461296463,1,A — Target first,1
153,The Fidelity Bank,NC,Fuquay Varina,Large / regional,4498.6,55.0,1500520.270953757,676304.874793757,2324735.6671137577,405.79135469025937,6.653077378914461,4.02535169073515,1,A — Target first,1
155,Texas Bank and Trust Company,TX,Longview,Large / regional,4461.1,22.0,1487516.3499319635,670173.5316369636,2304859.168226964,404.3007569611632,6.649441958494123,3.1354942159291497,1,A — Target first,1
156,Capital City Bank,FL,Tallahassee,Large / regional,4450.7,67.0,1483901.3757377495,668469.3066777495,2299333.4447977496,403.884998263198,6.648428321594245,4.219507705176107,1,A — Target first,1
157,Inwood National Bank,TX,Dallas,Large / regional,4438.5,12.0,1479664.4524493758,666472.0035493756,2292856.901349375,403.39693596576944,6.647236224216314,2.5649493574615367,1,A — Target first,1
159,ChoiceOne Bank,MI,Sparta,Large / regional,4391.1,51.0,1463264.846374911,658742.497704911,2267787.1950449105,401.49988813620894,6.642573327551591,3.9512437185814275,1,A — Target first,1
160,HomeTrust Bank,NC,Asheville,Large / regional,4384.7,33.0,1461048.946870642,657698.2581256421,2264399.6356156413,401.2425856974227,6.641939884406366,3.5263605246161616,1,A — Target first,1
161,First Federal Bank,FL,Lake City,Large / regional,4382.7,30.0,1460336.2018743004,657362.3863843004,2263310.0173643,401.1597745707834,6.641741743799373,3.4339872044851463,1,A — Target first,1
162,American Business Bank,CA,Los Angeles,Large / regional,4371.2,10.0,1456361.3258992657,655489.3528892657,2257233.298909266,400.6975041968066,6.64060067766542,2.3978952727983707,1,A — Target first,1
164,Civista Bank,OH,Sandusky,Large / regional,4290.1,42.0,1428277.6490401898,642259.4657251898,2214295.83235519,397.40968004890624,6.632467415481234,3.7612001156935624,1,A — Target first,1
167,Primis Bank,VA,Tappahannock,Large / regional,4238.6,28.0,1410415.3517655183,633848.1310105185,2186982.572520518,395.2983036230596,6.627222433791753,3.367295829986474,1,A — Target first,1
168,The Bank of Missouri,MO,Perryville,Large / regional,4236.3,32.0,1409624.9204334395,633475.9795234398,2185773.86134344,395.2045031473572,6.626986707745924,3.4965075614664802,1,A — Target first,1
169,Royal Business Bank,CA,Los Angeles,Large / regional,4186.5,25.0,1392396.832604496,625365.9525994961,2159427.712609496,393.1521677539504,6.621851095544312,3.258096538021482,1,A — Target first,1
